cluster_id,size,medoid_lat,medoid_lng,braking_events,swerve_events,roughness_events,hazard_type,avg_x,avg_y,avg_z,max_x,max_y,max_z,peak_events,offpeak_events,morning_peak,evening_peak,weekday_events,weekend_events,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,street_name
88,150,53.34226954,-6.237627953,142,13,34,braking,54.36,21.26,50.64,81,51,77,145,5,0,145,143,7,12,18,21,12,0,12,19,7,8,18,19,4,MacMahon Bridge
3,145,53.3226881,-6.2655814,66,123,12,mixed_braking_swerve,39.4,46.43448276,32.13103448,75,79,73,138,7,0,138,144,1,25,102,17,0,0,0,0,1,0,0,0,0,Rathmines Road Lower
31,130,53.3296446,-6.232053289,40,59,70,mixed_braking_swerve_roughness,31.33076923,31.73846154,62.42307692,73,83,117,119,11,18,101,130,0,2,14,2,4,2,21,28,15,20,11,10,1,Shelbourne Road
46,130,53.3000787,-6.173358,1,128,4,swerve,22.52307692,46.0,44.86923077,51,67,68,112,18,3,109,123,7,6,8,0,0,14,24,23,13,16,19,6,1,Newtown Avenue
110,120,53.30033666,-6.205437914,89,44,75,mixed_braking_swerve_roughness,52.43333333,35.93333333,63.14166667,87,53,88,112,8,92,20,120,0,5,8,6,13,3,13,27,13,12,2,18,0,Stillorgan Road
20,117,53.3104924,-6.2261668,32,55,61,mixed_braking_swerve_roughness,21.41025641,31.11965812,68.05982906,70,72,153,117,0,42,75,117,0,28,1,16,0,9,0,11,13,13,19,7,0,Foster's Avenue
58,113,53.36351663,-6.257682306,68,4,66,mixed_braking_roughness,44.81415929,20.08849558,61.59292035,77,46,106,92,21,32,60,103,10,8,5,17,11,2,14,27,8,0,8,9,4,Clonliffe Road
5,111,53.2888703,-6.2263395,64,42,24,mixed_braking_swerve,43.04504505,24.74774775,48.45945946,100,71,89,84,27,56,28,109,2,2,10,1,0,5,3,10,25,13,18,17,7,Drummartin Road
93,110,53.3006177,-6.1747648,1,108,5,swerve,24.12727273,46.58181818,47.5,53,62,81,102,8,0,102,107,3,9,4,0,0,6,15,22,16,14,13,11,0,Idrone Terrace
39,109,53.2260709,-6.3502619,107,0,3,braking,55.55045872,5.19266055,49.1559633,75,35,68,0,109,0,0,93,16,0,0,0,17,0,13,19,4,0,48,8,0,Allagour Road
7,106,53.3388548,-6.2726489,34,59,42,mixed_braking_swerve_roughness,34.01886792,36.82075472,42.97169811,115,74,105,77,29,2,75,94,12,7,23,0,0,25,13,0,20,6,1,11,0,New Street South
89,104,53.27549902,-6.215980042,82,28,23,mixed_braking_swerve,50.77884615,26.19230769,44.875,74,67,76,85,19,76,9,104,0,9,10,15,2,11,4,15,6,3,13,13,3,Blackthorn Road
72,103,53.3410085,-6.2391203,35,40,86,mixed_braking_swerve_roughness,38.04854369,36.04854369,70.06796117,70,66,91,50,53,29,21,79,24,0,0,0,0,0,1,27,31,24,7,12,1,Grand Canal Quay
9,102,53.33763889,-6.262619775,39,47,40,mixed_braking_swerve_roughness,37.47058824,34.8627451,43.57843137,97,80,99,75,27,14,61,94,8,10,20,10,4,19,0,6,17,6,4,2,4,Cuffe Street
87,98,53.27239517,-6.199202371,19,81,9,swerve,20.74489796,44.46938776,41.33673469,61,67,69,95,3,42,53,98,0,0,0,0,0,0,0,8,30,22,22,16,0,South County Business Park
98,96,53.34439921,-6.238379263,49,5,84,mixed_braking_roughness,42.60416667,25.11458333,70.77083333,77,52,91,90,6,1,89,90,6,4,13,5,6,5,11,14,15,8,4,10,1,Forbes Street
30,91,53.34702185,-6.274973143,53,29,16,mixed_braking_swerve,42.13186813,28.93406593,40.37362637,73,77,84,76,15,58,18,86,5,5,4,2,2,11,11,8,13,3,13,11,8,Chancery Street
28,91,53.3091462,-6.2852626,14,5,87,roughness,33.13186813,27.49450549,68.3956044,60,58,84,85,6,0,85,91,0,1,1,3,19,14,17,18,5,11,0,2,0,Templeogue Road
